gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3721281889	StillImage	image/jpeg	https://observation.org/photos/39181695.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3721281889	StillImage	image/jpeg	https://observation.org/photos/39181697.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3719915478	StillImage	image/jpeg	https://observation.org/photos/34648634.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3719915478	StillImage	image/jpeg	https://observation.org/photos/34648636.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3719915478	StillImage	image/jpeg	https://observation.org/photos/34648635.jpg							Martijn van Sluijs			http://creativecommons.org/licenses/by-nc-nd/4.0/	Martijn van Sluijs
3719440041	StillImage	image/jpeg	https://observation.org/photos/33663803.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3719440041	StillImage	image/jpeg	https://observation.org/photos/33663802.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3719286263	StillImage	image/jpeg	https://observation.org/photos/32940546.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3719286263	StillImage	image/jpeg	https://observation.org/photos/32940544.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3719286263	StillImage	image/jpeg	https://observation.org/photos/32940545.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718891654	StillImage	image/jpeg	https://observation.org/photos/33071596.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718891654	StillImage	image/jpeg	https://observation.org/photos/33071595.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718891654	StillImage	image/jpeg	https://observation.org/photos/33071593.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718891654	StillImage	image/jpeg	https://observation.org/photos/33071594.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718891654	StillImage	image/jpeg	https://observation.org/photos/33071592.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3718249339	StillImage	image/jpeg	https://observation.org/photos/30164153.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
3718249339	StillImage	image/jpeg	https://observation.org/photos/30164155.jpg							Bart Roelandt			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bart Roelandt
